QUAL	0	162.4	8	7	1	0
QUAL	0	163.0	65	38	27	0
QUAL	0	163.1	3	1	2	0
QUAL	0	163.3	2	1	1	0
QUAL	0	163.4	5	5	0	0
QUAL	0	164.0	33	23	10	0
QUAL	0	164.2	1	1	0	0
QUAL	0	164.4	15	10	5	0
QUAL	0	165.0	44	32	12	0
QUAL	0	165.2	3	2	1	0
QUAL	0	165.3	1	1	0	0
QUAL	0	165.4	9	7	2	0
QUAL	0	166.0	64	41	23	0
QUAL	0	166.3	1	1	0	0
QUAL	0	166.4	2	2	0	0
QUAL	0	167.0	52	40	12	0
QUAL	0	167.2	3	2	1	0
QUAL	0	167.3	3	3	0	0
QUAL	0	167.4	13	11	2	0
QUAL	0	167.9	1	0	1	0
QUAL	0	168.0	45	30	15	0
QUAL	0	168.3	1	0	1	0
QUAL	0	168.4	5	3	2	0
QUAL	0	168.5	3	2	1	0
QUAL	0	169.0	64	49	15	0
QUAL	0	169.2	1	1	0	0
QUAL	0	169.3	6	4	2	0
QUAL	0	169.4	5	1	4	0
QUAL	0	170.0	47	33	14	0
QUAL	0	170.2	1	1	0	0
QUAL	0	170.4	20	11	9	0
QUAL	0	171.0	39	24	15	0
QUAL	0	171.3	2	2	0	0
QUAL	0	171.4	5	4	1	0
QUAL	0	171.5	2	1	1	0
QUAL	0	172.0	59	38	21	0
QUAL	0	172.1	5	4	1	0
QUAL	0	172.3	4	2	2	0
QUAL	0	172.4	7	6	1	0
QUAL	0	173.0	41	32	9	0
QUAL	0	173.2	2	2	0	0
QUAL	0	173.4	19	15	4	0
QUAL	0	173.8	1	1	0	0
QUAL	0	174.0	44	32	12	0
QUAL	0	174.2	2	1	1	0
QUAL	0	174.3	1	1	0	0
QUAL	0	174.4	7	5	2	0
QUAL	0	174.5	1	1	0	0
QUAL	0	174.8	1	0	1	0
QUAL	0	175.0	47	29	18	0
QUAL	0	175.1	1	1	0	0
QUAL	0	175.3	5	5	0	0
QUAL	0	175.4	12	7	5	0
QUAL	0	175.7	1	1	0	0
QUAL	0	176.0	37	23	14	0
QUAL	0	176.1	1	0	1	0
QUAL	0	176.2	2	2	0	0
QUAL	0	176.4	17	10	7	0
QUAL	0	177.0	36	21	15	0
QUAL	0	177.2	1	1	0	0
QUAL	0	177.3	1	1	0	0
QUAL	0	177.4	8	4	4	0
QUAL	0	178.0	61	38	23	0
QUAL	0	178.1	1	1	0	0
QUAL	0	178.3	5	2	3	0
QUAL	0	178.4	12	8	4	0
QUAL	0	178.6	1	1	0	0
QUAL	0	179.0	48	36	12	0
QUAL	0	179.4	13	9	4	0
QUAL	0	180.0	40	25	15	0
QUAL	0	180.2	3	2	1	0
QUAL	0	180.3	1	1	0	0
QUAL	0	180.4	7	4	3	0
QUAL	0	181.0	66	41	25	0
QUAL	0	181.1	1	1	0	0
QUAL	0	181.3	6	3	3	0
QUAL	0	181.4	9	6	3	0
QUAL	0	181.5	2	1	1	0
QUAL	0	182.0	50	36	14	0
QUAL	0	182.1	1	0	1	0
QUAL	0	182.2	4	0	4	0
QUAL	0	182.4	13	9	4	0
QUAL	0	183.0	36	25	11	0
QUAL	0	183.2	6	4	2	0
QUAL	0	183.4	6	5	1	0
QUAL	0	183.5	3	2	1	0
QUAL	0	184.0	44	26	18	0
QUAL	0	184.1	1	0	1	0
QUAL	0	184.3	7	4	3	0
QUAL	0	184.4	12	11	1	0
QUAL	0	185.0	49	33	16	0
QUAL	0	185.3	2	1	1	0
QUAL	0	185.4	10	5	5	0
QUAL	0	186.0	38	25	13	0
QUAL	0	186.2	7	4	3	0
QUAL	0	186.4	8	8	0	0
QUAL	0	186.5	2	1	1	0
QUAL	0	187.0	63	39	24	0
QUAL	0	187.1	1	0	1	0
QUAL	0	187.3	7	6	1	0
QUAL	0	187.4	12	8	4	0
QUAL	0	188.0	41	33	8	0
QUAL	0	188.2	5	3	2	0
QUAL	0	188.3	1	1	0	0
QUAL	0	188.4	30	20	10	0
QUAL	0	189.0	42	29	13	0
QUAL	0	189.1	1	1	0	0
QUAL	0	189.2	1	0	1	0
QUAL	0	189.3	1	1	0	0
QUAL	0	189.4	9	5	4	0
